,Pclass,Sex,Age,SibSp,Parch,Fare,Age_true,AgeGroup,Familysize,Ticketsize,FareGroup,CabinLvl,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Mr,Title_Mrs,Title_Ms,Title_Noble,Survived
73,3,1.0,26.0,1,0,14.4542,1.0,3.0,1,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
882,3,0.0,22.0,0,0,10.5167,1.0,2.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
328,3,0.0,31.0,1,1,20.525,1.0,3.0,2,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
453,1,1.0,49.0,1,0,89.1042,1.0,4.0,1,2,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
145,2,1.0,19.0,1,1,36.75,1.0,2.0,2,2,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
234,2,1.0,24.0,0,0,10.5,1.0,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
220,3,1.0,16.0,0,0,8.05,1.0,1.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
370,1,1.0,25.0,1,0,55.4417,1.0,3.0,1,1,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
811,3,1.0,39.0,0,0,24.15,1.0,4.0,0,2,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
132,3,0.0,47.0,1,0,14.5,1.0,4.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
694,1,1.0,60.0,0,0,26.55,1.0,5.0,0,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
864,2,1.0,24.0,0,0,13.0,1.0,2.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
185,1,1.0,32.0,0,0,50.0,0.0,3.0,0,1,4.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
41,2,0.0,27.0,1,0,21.0,1.0,3.0,1,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
547,2,1.0,32.0,0,0,13.8625,0.0,3.0,0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
108,3,1.0,38.0,0,0,7.8958,1.0,4.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
603,3,1.0,44.0,0,0,8.05,1.0,4.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
56,2,0.0,21.0,0,0,10.5,1.0,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
394,3,0.0,24.0,0,2,16.7,1.0,2.0,2,2,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
706,2,0.0,45.0,0,0,13.5,1.0,4.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
549,2,1.0,8.0,1,1,36.75,1.0,0.0,2,2,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
24,3,0.0,8.0,3,1,21.075,1.0,0.0,4,4,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
351,1,1.0,32.0,0,0,35.0,0.0,3.0,0,1,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
429,3,1.0,32.0,0,0,8.05,1.0,3.0,0,1,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
434,1,1.0,50.0,1,0,55.9,1.0,5.0,1,2,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
51,3,1.0,21.0,0,0,7.8,1.0,2.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
526,2,0.0,50.0,0,0,10.5,1.0,5.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
816,3,0.0,23.0,0,0,7.925,1.0,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
569,3,1.0,32.0,0,0,7.8542,1.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
264,3,0.0,22.0,0,0,7.75,0.0,2.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
436,3,0.0,21.0,2,2,34.375,1.0,2.0,4,4,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
613,3,1.0,32.0,0,0,7.75,0.0,3.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
693,3,1.0,25.0,0,0,7.225,1.0,3.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
352,3,1.0,15.0,1,1,7.2292,1.0,1.0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
18,3,0.0,31.0,1,0,18.0,1.0,3.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
666,2,1.0,25.0,0,0,13.0,1.0,3.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
582,2,1.0,54.0,0,0,26.0,1.0,5.0,0,2,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
83,1,1.0,28.0,0,0,47.1,1.0,3.0,0,1,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
61,1,0.0,38.0,0,0,80.0,1.0,4.0,0,2,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
272,2,0.0,41.0,0,1,19.5,1.0,4.0,1,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
285,3,1.0,33.0,0,0,8.6625,1.0,3.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
695,2,1.0,52.0,0,0,13.5,1.0,5.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
746,3,1.0,16.0,1,1,20.25,1.0,1.0,2,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
12,3,1.0,20.0,0,0,8.05,1.0,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
182,3,1.0,9.0,4,2,31.3875,1.0,0.0,6,4,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
444,3,1.0,32.0,0,0,8.1125,0.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
552,3,1.0,32.0,0,0,7.8292,0.0,3.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
223,3,1.0,32.0,0,0,7.8958,0.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
513,1,0.0,54.0,1,0,59.4,1.0,5.0,1,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
628,3,1.0,26.0,0,0,7.8958,1.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
587,1,1.0,60.0,1,1,79.2,1.0,5.0,2,1,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
692,3,1.0,32.0,0,0,56.4958,0.0,3.0,0,7,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
523,1,0.0,44.0,0,1,57.9792,1.0,4.0,1,2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
664,3,1.0,20.0,1,0,7.925,1.0,2.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
176,3,1.0,4.0,3,1,25.4667,0.0,0.0,4,4,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
841,2,1.0,16.0,0,0,10.5,1.0,1.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
678,3,0.0,43.0,1,6,46.9,1.0,4.0,7,6,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
163,3,1.0,17.0,0,0,8.6625,1.0,1.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
248,1,1.0,37.0,1,1,52.5542,1.0,4.0,2,2,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
570,2,1.0,62.0,0,0,10.5,1.0,5.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
787,3,1.0,8.0,4,1,29.125,1.0,0.0,5,5,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
74,3,1.0,32.0,0,0,56.4958,1.0,3.0,0,7,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
113,3,0.0,20.0,1,0,9.825,1.0,2.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
635,2,0.0,28.0,0,0,13.0,1.0,3.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
501,3,0.0,21.0,0,0,7.75,1.0,2.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
104,3,1.0,37.0,2,0,7.925,1.0,4.0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
114,3,0.0,17.0,0,0,14.4583,1.0,1.0,0,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
368,3,0.0,22.0,0,0,7.75,0.0,2.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
92,1,1.0,46.0,1,0,61.175,1.0,4.0,1,1,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
497,3,1.0,32.0,0,0,15.1,0.0,3.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
89,3,1.0,24.0,0,0,8.05,1.0,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
336,1,1.0,29.0,1,0,66.6,1.0,3.0,1,2,4.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
879,1,0.0,56.0,0,1,83.1583,1.0,5.0,1,2,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
817,2,1.0,31.0,1,1,37.0042,1.0,3.0,2,2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
828,3,1.0,32.0,0,0,7.75,0.0,3.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
543,2,1.0,32.0,1,0,26.0,1.0,3.0,1,2,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
548,3,1.0,33.0,1,1,20.525,1.0,3.0,2,3,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
94,3,1.0,59.0,0,0,7.25,1.0,5.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
11,1,0.0,58.0,0,0,26.55,1.0,5.0,0,1,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
431,3,0.0,35.0,1,0,16.1,0.0,4.0,1,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
43,2,0.0,3.0,1,2,41.5792,1.0,0.0,3,3,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
42,3,1.0,32.0,0,0,7.8958,0.0,3.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
329,1,0.0,16.0,0,1,57.9792,1.0,1.0,1,2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
167,3,0.0,45.0,1,4,27.9,1.0,4.0,5,6,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
779,1,0.0,43.0,0,1,211.3375,1.0,4.0,1,3,5.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
537,1,0.0,30.0,0,0,106.425,1.0,3.0,0,2,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
735,3,1.0,28.0,0,0,16.1,0.0,3.0,0,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
499,3,1.0,24.0,0,0,7.7958,1.0,2.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
178,2,1.0,30.0,0,0,13.0,1.0,3.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
583,1,1.0,36.0,0,0,40.125,1.0,4.0,0,1,3.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
784,3,1.0,25.0,0,0,7.05,1.0,3.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
593,3,0.0,22.0,0,2,7.75,0.0,2.0,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
177,1,0.0,50.0,0,0,28.7125,1.0,5.0,0,1,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
644,3,0.0,0.0,2,1,19.2583,1.0,0.0,3,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
710,1,0.0,24.0,0,0,49.5042,1.0,2.0,0,1,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
615,2,0.0,24.0,1,2,65.0,1.0,2.0,3,2,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
383,1,0.0,35.0,1,0,52.0,1.0,4.0,1,2,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
257,1,0.0,30.0,0,0,86.5,1.0,3.0,0,3,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
734,2,1.0,23.0,0,0,13.0,1.0,2.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
335,3,1.0,32.0,0,0,7.8958,0.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
551,2,1.0,27.0,0,0,26.0,1.0,3.0,0,1,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
15,2,0.0,55.0,0,0,16.0,1.0,5.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3,1,0.0,35.0,1,0,53.1,1.0,4.0,1,2,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
411,3,1.0,32.0,0,0,6.8583,0.0,3.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
256,1,0.0,35.0,0,0,79.2,0.0,4.0,0,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
451,3,1.0,32.0,1,0,19.9667,0.0,3.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
473,2,0.0,23.0,0,0,13.7917,1.0,2.0,0,1,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
697,3,0.0,22.0,0,0,7.7333,0.0,2.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
393,1,0.0,23.0,1,0,113.275,1.0,2.0,1,3,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
222,3,1.0,51.0,0,0,8.05,1.0,5.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
506,2,0.0,33.0,0,2,26.0,1.0,3.0,2,2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
567,3,0.0,29.0,0,4,21.075,1.0,3.0,4,4,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
420,3,1.0,32.0,0,0,7.8958,0.0,3.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
324,3,1.0,32.0,8,2,69.55,0.0,3.0,10,7,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
530,2,0.0,2.0,1,1,26.0,1.0,0.0,2,2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
9,2,0.0,14.0,1,0,30.0708,1.0,1.0,1,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
249,2,1.0,54.0,1,0,26.0,1.0,5.0,1,2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
22,3,0.0,15.0,0,0,8.0292,1.0,1.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
356,1,0.0,22.0,0,1,55.0,1.0,2.0,1,2,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
221,2,1.0,27.0,0,0,13.0,1.0,3.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
601,3,1.0,32.0,0,0,7.8958,0.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
766,1,1.0,49.0,0,0,39.6,0.0,4.0,0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
874,2,0.0,28.0,1,0,24.0,1.0,3.0,1,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
528,3,1.0,39.0,0,0,7.925,1.0,4.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
340,2,1.0,2.0,1,1,26.0,1.0,0.0,2,3,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
743,3,1.0,24.0,1,0,16.1,1.0,2.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
519,3,1.0,32.0,0,0,7.8958,1.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
203,3,1.0,45.0,0,0,7.225,0.0,4.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
237,2,0.0,8.0,0,2,26.25,1.0,0.0,2,3,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
93,3,1.0,26.0,1,2,20.575,1.0,3.0,3,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
730,1,0.0,29.0,0,0,211.3375,1.0,3.0,0,3,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
440,2,0.0,45.0,1,1,26.25,1.0,4.0,2,3,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
559,3,0.0,36.0,1,0,17.4,1.0,4.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
284,1,1.0,32.0,0,0,26.0,0.0,3.0,0,1,3.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
184,3,0.0,4.0,0,2,22.025,1.0,0.0,2,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
791,2,1.0,16.0,0,0,26.0,1.0,1.0,0,2,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
487,1,1.0,58.0,0,0,29.7,1.0,5.0,0,1,3.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
153,3,1.0,40.0,0,2,14.5,0.0,4.0,2,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
75,3,1.0,25.0,0,0,7.65,1.0,3.0,0,1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
656,3,1.0,32.0,0,0,7.8958,0.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
631,3,1.0,51.0,0,0,7.0542,1.0,5.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
277,2,1.0,32.0,0,0,20.66218315217392,0.0,3.0,0,3,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
68,3,0.0,17.0,4,2,7.925,1.0,1.0,6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
825,3,1.0,32.0,0,0,6.95,0.0,3.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
188,3,1.0,40.0,1,1,15.5,1.0,4.0,2,2,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
271,3,1.0,25.0,0,0,0.0,1.0,3.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
662,1,1.0,47.0,0,0,25.5875,1.0,4.0,0,1,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
711,1,1.0,32.0,0,0,26.55,0.0,3.0,0,1,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
236,2,1.0,44.0,1,0,26.0,1.0,4.0,1,1,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
88,1,0.0,23.0,3,2,263.0,1.0,2.0,5,4,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
757,2,1.0,18.0,0,0,11.5,1.0,2.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
117,2,1.0,29.0,1,0,21.0,1.0,3.0,1,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
125,3,1.0,12.0,1,0,11.2417,1.0,1.0,1,2,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
731,3,1.0,11.0,0,0,18.7875,1.0,0.0,0,2,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
