,Survived,Pclass,SibSp,Parch,Embarked,Title,Age_true,AgeGroup,FareGroup,CabinLvl
58,1,2,1,2,S,Ms,True,Kids,Average,XX
59,0,3,5,2,S,Master,True,Kids,Expensive,XX
60,0,3,0,0,C,Mr,True,Young Adults,Very Cheap,XX
61,1,1,0,0,S,Ms,True,Middle-aged,Expensive,B
62,0,1,1,0,S,Mr,True,Middle-aged,Expensive,C
63,0,3,3,2,S,Master,True,Kids,Average,XX
64,0,1,0,0,C,Mr,False,Adults,Average,XX
65,1,3,1,1,C,Master,False,Kids,Normal,XX
66,1,2,0,0,S,Mrs,True,Adults,Cheap,F
67,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
68,1,3,4,2,S,Ms,True,Teenagers,Cheap,XX
69,0,3,2,0,S,Mr,True,Adults,Cheap,XX
70,0,2,0,0,S,Mr,True,Adults,Cheap,XX
71,0,3,5,2,S,Ms,True,Teenagers,Expensive,XX
72,0,2,0,0,S,Mr,True,Young Adults,Expensive,XX
73,0,3,1,0,C,Mr,True,Adults,Normal,XX
74,1,3,0,0,S,Mr,True,Adults,Expensive,XX
75,0,3,0,0,S,Mr,True,Adults,Very Cheap,F
76,0,3,0,0,S,Mr,False,Adults,Cheap,XX
77,0,3,0,0,S,Mr,False,Adults,Cheap,XX
78,1,2,0,2,S,Master,True,Kids,Average,XX
79,1,3,0,0,S,Ms,True,Adults,Normal,XX
80,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
81,1,3,0,0,S,Mr,True,Adults,Cheap,XX
82,1,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
83,0,1,0,0,S,Mr,True,Adults,Expensive,XX
84,1,2,0,0,S,Ms,True,Teenagers,Cheap,XX
85,1,3,3,0,S,Mrs,True,Adults,Normal,XX
86,0,3,1,3,S,Mr,True,Teenagers,Average,XX
87,0,3,0,0,S,Mr,False,Adults,Cheap,XX
88,1,1,3,2,S,Ms,True,Young Adults,Very Expensive,C
89,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
90,0,3,0,0,S,Mr,True,Adults,Cheap,XX
91,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
92,0,1,1,0,S,Mr,True,Middle-aged,Expensive,E
93,0,3,1,2,S,Mr,True,Adults,Normal,XX
94,0,3,0,0,S,Mr,True,Seniors,Very Cheap,XX
95,0,3,0,0,S,Mr,False,Adults,Cheap,XX
96,0,1,0,0,C,Mr,True,Seniors,Average,A
97,1,1,0,1,C,Mr,True,Young Adults,Expensive,D
98,1,2,0,1,S,Mrs,True,Adults,Normal,XX
99,0,2,1,0,S,Mr,True,Adults,Average,XX
100,0,3,0,0,S,Ms,True,Adults,Cheap,XX
101,0,3,0,0,S,Mr,False,Adults,Cheap,XX
102,0,1,0,1,S,Mr,True,Young Adults,Expensive,D
103,0,3,0,0,S,Mr,True,Adults,Cheap,XX
104,0,3,2,0,S,Mr,True,Middle-aged,Cheap,XX
105,0,3,0,0,S,Mr,True,Adults,Cheap,XX
106,1,3,0,0,S,Ms,True,Young Adults,Very Cheap,XX
107,1,3,0,0,S,Mr,False,Adults,Very Cheap,XX
108,0,3,0,0,S,Mr,True,Middle-aged,Cheap,XX
109,1,3,1,0,Q,Ms,False,Young Adults,Average,XX
110,0,1,0,0,S,Mr,True,Middle-aged,Expensive,C
111,0,3,1,0,C,Ms,False,Teenagers,Normal,XX
112,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
113,0,3,1,0,S,Ms,True,Young Adults,Cheap,XX
114,0,3,0,0,C,Ms,True,Teenagers,Normal,XX
115,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
116,0,3,0,0,Q,Mr,False,Seniors,Very Cheap,XX
117,0,2,1,0,S,Mr,True,Adults,Normal,XX
118,0,1,0,1,C,Mr,True,Young Adults,Very Expensive,B
119,0,3,4,2,S,Ms,True,Kids,Average,XX
120,0,2,2,0,S,Mr,True,Young Adults,Expensive,XX
121,0,3,0,0,S,Mr,False,Adults,Cheap,XX
122,0,2,1,0,C,Mr,False,Adults,Average,XX
123,1,2,0,0,S,Ms,False,Adults,Normal,E
124,0,1,0,1,S,Mr,True,Seniors,Expensive,D
125,1,3,1,0,C,Master,True,Teenagers,Normal,XX
126,0,3,0,0,Q,Mr,False,Adults,Very Cheap,XX
127,1,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
128,1,3,1,1,C,Ms,False,Young Adults,Normal,F
129,0,3,0,0,S,Mr,True,Middle-aged,Very Cheap,XX
130,0,3,0,0,C,Mr,True,Adults,Cheap,XX
131,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
132,0,3,1,0,S,Mrs,True,Middle-aged,Normal,XX
133,1,2,1,0,S,Mrs,True,Adults,Average,XX
134,0,2,0,0,S,Mr,True,Adults,Normal,XX
135,0,2,0,0,C,Mr,True,Young Adults,Normal,XX
136,1,1,0,2,S,Ms,True,Young Adults,Average,D
137,0,1,1,0,S,Mr,True,Middle-aged,Expensive,C
138,0,3,0,0,S,Mr,True,Teenagers,Cheap,XX
139,0,1,0,0,C,Mr,True,Young Adults,Expensive,B
140,0,3,0,2,C,Mrs,False,Middle-aged,Normal,XX
141,1,3,0,0,S,Ms,True,Young Adults,Very Cheap,XX
142,1,3,1,0,S,Mrs,True,Young Adults,Normal,XX
143,0,3,0,0,Q,Mr,True,Young Adults,Very Cheap,XX
144,0,2,0,0,S,Mr,True,Young Adults,Normal,XX
145,0,2,1,1,S,Mr,True,Young Adults,Average,XX
146,1,3,0,0,S,Mr,True,Adults,Very Cheap,XX
147,0,3,2,2,S,Ms,True,Kids,Average,XX
148,0,2,0,2,S,Mr,False,Middle-aged,Average,F
149,0,2,0,0,S,Noble,True,Middle-aged,Normal,XX
150,0,2,0,0,S,Noble,True,Seniors,Normal,XX
151,1,1,1,0,S,Mrs,True,Young Adults,Expensive,C
152,0,3,0,0,S,Mr,False,Seniors,Cheap,XX
153,0,3,0,2,S,Mr,False,Middle-aged,Normal,XX
154,0,3,0,0,S,Mr,False,Adults,Very Cheap,XX
155,0,1,0,1,C,Mr,True,Seniors,Expensive,XX
156,1,3,0,0,Q,Ms,True,Teenagers,Very Cheap,XX
157,0,3,0,0,S,Mr,True,Adults,Cheap,XX
158,0,3,0,0,S,Mr,False,Adults,Cheap,XX
159,0,3,8,2,S,Master,False,Kids,Expensive,XX
160,0,3,0,1,S,Mr,True,Middle-aged,Normal,XX
161,1,2,0,0,S,Mrs,True,Middle-aged,Normal,XX
162,0,3,0,0,S,Mr,True,Adults,Very Cheap,XX
163,0,3,0,0,S,Mr,True,Teenagers,Cheap,XX
164,0,3,4,1,S,Master,True,Kids,Average,XX
165,1,3,0,2,S,Master,True,Kids,Normal,XX
166,1,1,0,1,S,Mrs,False,Middle-aged,Expensive,E
167,0,3,1,4,S,Mrs,True,Middle-aged,Average,XX
168,0,1,0,0,S,Mr,False,Adults,Average,XX
169,0,3,0,0,S,Mr,True,Adults,Expensive,XX
170,0,1,0,0,S,Mr,True,Seniors,Average,B
171,0,3,4,1,Q,Master,True,Kids,Average,XX
172,1,3,1,1,S,Ms,True,Kids,Normal,XX
173,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
174,0,1,0,0,C,Mr,True,Seniors,Average,A
175,0,3,1,1,S,Mr,True,Young Adults,Cheap,XX
176,0,3,3,1,S,Master,False,Kids,Average,XX
177,0,1,0,0,C,Ms,True,Seniors,Average,C
178,0,2,0,0,S,Mr,True,Adults,Normal,XX
179,0,3,0,0,S,Mr,True,Middle-aged,Very Cheap,XX
180,0,3,8,2,S,Ms,False,Young Adults,Expensive,XX
181,0,2,0,0,C,Mr,False,Adults,Normal,XX
182,0,3,4,2,S,Master,True,Kids,Average,XX
183,1,2,2,1,S,Master,True,Kids,Average,F
184,1,3,0,2,S,Ms,True,Kids,Normal,XX
185,0,1,0,0,S,Mr,False,Adults,Expensive,A
186,1,3,1,0,Q,Mrs,False,Middle-aged,Normal,XX
187,1,1,0,0,S,Mr,True,Middle-aged,Average,XX
188,0,3,1,1,Q,Mr,True,Middle-aged,Normal,XX
189,0,3,0,0,S,Mr,True,Middle-aged,Cheap,XX
190,1,2,0,0,S,Mrs,True,Adults,Normal,XX
191,0,2,0,0,S,Mr,True,Young Adults,Normal,XX
192,1,3,1,0,S,Ms,True,Young Adults,Cheap,XX
193,1,2,1,1,S,Master,True,Kids,Average,F
194,1,1,0,0,C,Mrs,True,Middle-aged,Average,B
195,1,1,0,0,C,Ms,True,Seniors,Very Expensive,B
196,0,3,0,0,Q,Mr,False,Adults,Very Cheap,XX
197,0,3,0,1,S,Mr,True,Middle-aged,Cheap,XX
198,1,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
199,0,2,0,0,S,Ms,True,Young Adults,Normal,XX
200,0,3,0,0,S,Mr,True,Adults,Cheap,XX
201,0,3,8,2,S,Mr,False,Adults,Expensive,XX
202,0,3,0,0,S,Mr,True,Adults,Very Cheap,XX
203,0,3,0,0,C,Mr,False,Middle-aged,Very Cheap,XX
204,1,3,0,0,S,Mr,True,Young Adults,Cheap,XX
205,0,3,0,1,S,Ms,True,Kids,Cheap,G
206,0,3,1,0,S,Mr,True,Adults,Normal,XX
207,1,3,0,0,C,Mr,True,Adults,Normal,XX
208,1,3,0,0,Q,Ms,True,Teenagers,Very Cheap,XX
209,1,1,0,0,C,Mr,True,Middle-aged,Average,A
210,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
211,1,2,0,0,S,Ms,True,Middle-aged,Normal,XX
212,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
213,0,2,0,0,S,Mr,True,Adults,Normal,XX
214,0,3,1,0,Q,Mr,False,Adults,Very Cheap,XX
215,1,1,1,0,C,Ms,True,Adults,Very Expensive,D
216,1,3,0,0,S,Ms,True,Adults,Cheap,XX
217,0,2,1,0,S,Mr,True,Middle-aged,Average,XX
218,1,1,0,0,C,Ms,True,Adults,Expensive,D
219,0,2,0,0,S,Mr,True,Adults,Cheap,XX
220,1,3,0,0,S,Mr,True,Teenagers,Cheap,XX
221,0,2,0,0,S,Mr,True,Adults,Normal,XX
222,0,3,0,0,S,Mr,True,Seniors,Cheap,XX
223,0,3,0,0,S,Mr,False,Adults,Cheap,XX
224,1,1,1,0,S,Mr,True,Middle-aged,Expensive,C
225,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
226,1,2,0,0,S,Mr,True,Young Adults,Cheap,XX
227,0,3,0,0,S,Mr,False,Young Adults,Very Cheap,XX
228,0,2,0,0,S,Mr,True,Young Adults,Normal,XX
229,0,3,3,1,S,Ms,False,Young Adults,Average,XX
230,1,1,1,0,S,Mrs,True,Middle-aged,Expensive,C
231,0,3,0,0,S,Mr,True,Adults,Very Cheap,XX
232,0,2,0,0,S,Mr,True,Seniors,Normal,XX
233,1,3,4,2,S,Ms,True,Kids,Average,XX
234,0,2,0,0,S,Mr,True,Young Adults,Cheap,XX
235,0,3,0,0,S,Ms,False,Young Adults,Very Cheap,XX
236,0,2,1,0,S,Mr,True,Middle-aged,Average,XX
237,1,2,0,2,S,Ms,True,Kids,Average,XX
238,0,2,0,0,S,Mr,True,Young Adults,Cheap,XX
239,0,2,0,0,S,Mr,True,Adults,Normal,XX
240,0,3,1,0,C,Ms,False,Young Adults,Normal,XX
241,1,3,1,0,Q,Ms,False,Young Adults,Normal,XX
242,0,2,0,0,S,Mr,True,Adults,Cheap,XX
243,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
244,0,3,0,0,C,Mr,True,Adults,Very Cheap,XX
245,0,1,2,0,Q,Noble,True,Middle-aged,Expensive,C
246,0,3,0,0,S,Ms,True,Adults,Very Cheap,XX
247,1,2,0,2,S,Mrs,True,Young Adults,Normal,XX
248,1,1,1,1,S,Mr,True,Middle-aged,Expensive,D
249,0,2,1,0,S,Noble,True,Seniors,Average,XX
250,0,3,0,0,S,Mr,False,Adults,Very Cheap,XX
251,0,3,1,1,S,Mrs,True,Adults,Cheap,G
252,0,1,0,0,S,Mr,True,Seniors,Average,C
253,0,3,1,0,S,Mr,True,Adults,Normal,XX
254,0,3,0,2,S,Mrs,True,Middle-aged,Normal,XX
255,1,3,0,2,C,Mrs,True,Adults,Normal,XX
256,1,1,0,0,C,Mrs,False,Middle-aged,Expensive,XX
257,1,1,0,0,S,Ms,True,Adults,Expensive,B
258,1,1,0,0,C,Ms,True,Middle-aged,Very Expensive,XX
259,1,2,0,1,S,Mrs,True,Seniors,Average,XX
260,0,3,0,0,Q,Mr,False,Adults,Very Cheap,XX
261,1,3,4,2,S,Master,True,Kids,Average,XX
262,0,1,1,1,S,Mr,True,Seniors,Expensive,E
263,0,1,0,0,S,Mr,True,Middle-aged,Expensive,B
264,0,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
265,0,2,0,0,S,Mr,True,Middle-aged,Cheap,XX
266,0,3,4,1,S,Mr,True,Teenagers,Average,XX
267,1,3,1,0,S,Mr,True,Adults,Very Cheap,XX
268,1,1,0,1,S,Mrs,True,Seniors,Very Expensive,C
269,1,1,0,0,S,Ms,True,Middle-aged,Very Expensive,C
270,0,1,0,0,S,Mr,False,Adults,Average,XX
271,1,3,0,0,S,Mr,True,Adults,Very Cheap,XX
272,1,2,0,1,S,Mrs,True,Middle-aged,Normal,XX
273,0,1,0,1,C,Mr,True,Middle-aged,Average,C
274,1,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
275,1,1,1,0,S,Ms,True,Seniors,Expensive,D
276,0,3,0,0,S,Ms,True,Middle-aged,Very Cheap,XX
277,0,2,0,0,S,Mr,False,Adults,Normal,XX
278,0,3,4,1,Q,Master,True,Kids,Average,XX
279,1,3,1,1,S,Mrs,True,Middle-aged,Normal,XX
280,0,3,0,0,Q,Mr,True,Seniors,Very Cheap,XX
281,0,3,0,0,S,Mr,True,Adults,Cheap,XX
282,0,3,0,0,S,Mr,True,Teenagers,Cheap,XX
283,1,3,0,0,S,Mr,True,Young Adults,Cheap,XX
284,0,1,0,0,S,Mr,False,Adults,Average,A
285,0,3,0,0,C,Mr,True,Adults,Cheap,XX
286,1,3,0,0,S,Mr,True,Adults,Cheap,XX
287,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
288,1,2,0,0,S,Mr,True,Middle-aged,Normal,XX
289,1,3,0,0,Q,Ms,True,Young Adults,Very Cheap,XX
290,1,1,0,0,S,Ms,True,Adults,Expensive,XX
291,1,1,1,0,C,Mrs,True,Young Adults,Expensive,B
292,0,2,0,0,C,Mr,True,Middle-aged,Normal,D
293,0,3,0,0,S,Ms,True,Young Adults,Cheap,XX
294,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
295,0,1,0,0,C,Mr,False,Adults,Average,XX
296,0,3,0,0,C,Mr,False,Young Adults,Very Cheap,XX
297,0,1,1,2,S,Ms,True,Kids,Very Expensive,C
298,1,1,0,0,S,Mr,False,Adults,Average,C
299,1,1,0,1,C,Mrs,True,Seniors,Very Expensive,B
300,1,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
301,1,3,2,0,Q,Mr,False,Adults,Average,XX
302,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
303,1,2,0,0,Q,Ms,False,Young Adults,Normal,E
304,0,3,0,0,S,Mr,False,Adults,Cheap,XX
305,1,1,1,2,S,Master,True,Kids,Very Expensive,C
306,1,1,0,0,C,Ms,False,Young Adults,Very Expensive,XX
307,1,1,1,0,C,Mrs,True,Teenagers,Very Expensive,C
308,0,2,1,0,C,Mr,True,Adults,Average,XX
309,1,1,0,0,C,Ms,True,Adults,Expensive,E
310,1,1,0,0,C,Ms,True,Young Adults,Expensive,C
311,1,1,2,2,C,Ms,True,Young Adults,Very Expensive,B
312,0,2,1,1,S,Mrs,True,Adults,Average,XX
313,0,3,0,0,S,Mr,True,Adults,Cheap,XX
314,0,2,1,1,S,Mr,True,Middle-aged,Average,XX
315,1,3,0,0,S,Ms,True,Adults,Cheap,XX
316,1,2,1,0,S,Mrs,True,Young Adults,Average,XX
317,0,2,0,0,S,Noble,True,Seniors,Normal,XX
318,1,1,0,2,S,Ms,True,Adults,Very Expensive,C
319,1,1,1,1,C,Mrs,True,Middle-aged,Very Expensive,E
320,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
321,0,3,0,0,S,Mr,True,Adults,Cheap,XX
322,1,2,0,0,Q,Ms,True,Adults,Normal,XX
323,1,2,1,1,S,Mrs,True,Young Adults,Average,XX
324,0,3,8,2,S,Mr,False,Adults,Expensive,XX
325,1,1,0,0,C,Ms,True,Middle-aged,Very Expensive,C
326,0,3,0,0,S,Mr,True,Seniors,Very Cheap,XX
327,1,2,0,0,S,Mrs,True,Middle-aged,Normal,D
328,1,3,1,1,S,Mrs,True,Adults,Normal,XX
329,1,1,0,1,C,Ms,True,Teenagers,Expensive,B
330,1,3,2,0,Q,Ms,False,Young Adults,Average,XX
331,0,1,0,0,S,Mr,False,Middle-aged,Average,C
332,0,1,0,1,S,Mr,True,Middle-aged,Very Expensive,C
333,0,3,2,0,S,Mr,True,Teenagers,Normal,XX
334,1,1,1,0,S,Mrs,False,Middle-aged,Very Expensive,XX
335,0,3,0,0,S,Mr,False,Adults,Cheap,XX
336,0,1,1,0,S,Mr,True,Adults,Expensive,C
337,1,1,0,0,C,Ms,True,Middle-aged,Very Expensive,E
338,1,3,0,0,S,Mr,True,Middle-aged,Cheap,XX
339,0,1,0,0,S,Mr,True,Middle-aged,Average,T
340,1,2,1,1,S,Master,True,Kids,Average,F
341,1,1,3,2,S,Ms,True,Young Adults,Very Expensive,C
342,0,2,0,0,S,Mr,True,Adults,Normal,XX
343,0,2,0,0,S,Mr,True,Adults,Normal,XX
344,0,2,0,0,S,Mr,True,Middle-aged,Normal,XX
345,1,2,0,0,S,Ms,True,Young Adults,Normal,F
346,1,2,0,0,S,Ms,True,Middle-aged,Normal,XX
347,1,3,1,0,S,Mrs,False,Middle-aged,Normal,XX
348,1,3,1,1,S,Master,True,Kids,Normal,XX
349,0,3,0,0,S,Mr,True,Middle-aged,Cheap,XX
350,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
351,0,1,0,0,S,Mr,False,Adults,Average,C
352,0,3,1,1,C,Mr,True,Teenagers,Very Cheap,XX
353,0,3,1,0,S,Mr,True,Adults,Normal,XX
354,0,3,0,0,C,Mr,False,Adults,Very Cheap,XX
355,0,3,0,0,S,Mr,True,Adults,Cheap,XX
356,1,1,0,1,S,Ms,True,Young Adults,Expensive,E
357,0,2,0,0,S,Ms,True,Middle-aged,Normal,XX
358,1,3,0,0,Q,Ms,False,Young Adults,Cheap,XX
359,1,3,0,0,Q,Ms,False,Young Adults,Cheap,XX
360,0,3,1,4,S,Mr,True,Middle-aged,Average,XX
361,0,2,1,0,C,Mr,True,Adults,Average,XX
362,0,3,0,1,C,Mrs,True,Middle-aged,Normal,XX
363,0,3,0,0,S,Mr,True,Middle-aged,Very Cheap,XX
364,0,3,1,0,Q,Mr,False,Adults,Normal,XX
365,0,3,0,0,S,Mr,True,Adults,Very Cheap,XX
366,1,1,1,0,C,Mrs,True,Seniors,Expensive,D
367,1,3,0,0,C,Mrs,False,Middle-aged,Very Cheap,XX
368,1,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
369,1,1,0,0,C,Mrs,True,Young Adults,Expensive,B
370,1,1,1,0,C,Mr,True,Adults,Expensive,E
371,0,3,1,0,S,Mr,True,Young Adults,Very Cheap,XX
372,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
373,0,1,0,0,C,Mr,True,Young Adults,Very Expensive,XX
374,0,3,3,1,S,Ms,True,Kids,Normal,XX
375,1,1,1,0,C,Mrs,False,Middle-aged,Expensive,XX
376,1,3,0,0,S,Ms,True,Young Adults,Very Cheap,XX
377,0,1,0,2,C,Mr,True,Adults,Very Expensive,C
378,0,3,0,0,C,Mr,True,Young Adults,Very Cheap,XX
379,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
380,1,1,0,0,C,Ms,True,Middle-aged,Very Expensive,XX
381,1,3,0,2,C,Ms,True,Kids,Normal,XX
382,0,3,0,0,S,Mr,True,Adults,Cheap,XX
383,1,1,1,0,S,Mrs,True,Middle-aged,Expensive,XX
384,0,3,0,0,S,Mr,False,Adults,Cheap,XX
385,0,2,0,0,S,Mr,True,Young Adults,Expensive,XX
386,0,3,5,2,S,Master,True,Kids,Expensive,XX
387,1,2,0,0,S,Ms,True,Middle-aged,Normal,XX
388,0,3,0,0,Q,Mr,False,Adults,Very Cheap,XX
389,1,2,0,0,C,Ms,True,Teenagers,Normal,XX
390,1,1,1,2,S,Mr,True,Middle-aged,Very Expensive,B
391,1,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
392,0,3,2,0,S,Mr,True,Adults,Cheap,XX
393,1,1,1,0,C,Ms,True,Young Adults,Very Expensive,D
394,1,3,0,2,S,Mrs,True,Young Adults,Normal,G
395,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
396,0,3,0,0,S,Ms,True,Adults,Cheap,XX
397,0,2,0,0,S,Mr,True,Middle-aged,Average,XX
398,0,2,0,0,S,Noble,True,Young Adults,Cheap,XX
399,1,2,0,0,S,Mrs,True,Adults,Normal,XX
400,1,3,0,0,S,Mr,True,Middle-aged,Cheap,XX
401,0,3,0,0,S,Mr,True,Adults,Cheap,XX
402,0,3,1,0,S,Ms,True,Young Adults,Cheap,XX
403,0,3,1,0,S,Mr,True,Adults,Normal,XX
404,0,3,0,0,S,Ms,True,Young Adults,Cheap,XX
405,0,2,1,0,S,Mr,True,Adults,Normal,XX
406,0,3,0,0,S,Mr,True,Seniors,Very Cheap,XX
407,1,2,1,1,S,Master,True,Kids,Normal,XX
408,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
409,0,3,3,1,S,Ms,False,Young Adults,Average,XX
410,0,3,0,0,S,Mr,False,Adults,Cheap,XX
411,0,3,0,0,Q,Mr,False,Adults,Very Cheap,XX
412,1,1,1,0,Q,Ms,True,Adults,Expensive,C
413,0,2,0,0,S,Mr,False,Adults,Normal,XX
414,1,3,0,0,S,Mr,True,Middle-aged,Cheap,XX
415,0,3,0,0,S,Mrs,False,Middle-aged,Cheap,XX
416,1,2,1,1,S,Mrs,True,Adults,Average,XX
417,1,2,0,2,S,Ms,True,Young Adults,Normal,XX
418,0,2,0,0,S,Mr,True,Adults,Normal,XX
419,0,3,0,2,S,Ms,True,Kids,Average,XX
420,0,3,0,0,C,Mr,False,Adults,Cheap,XX
421,0,3,0,0,Q,Mr,True,Young Adults,Very Cheap,XX
422,0,3,0,0,S,Mr,True,Adults,Cheap,XX
423,0,3,1,1,S,Mrs,True,Adults,Normal,XX
424,0,3,1,1,S,Mr,True,Young Adults,Normal,XX
425,0,3,0,0,S,Mr,False,Adults,Very Cheap,XX
426,1,2,1,0,S,Mrs,True,Adults,Average,XX
427,1,2,0,0,S,Ms,True,Young Adults,Average,XX
428,0,3,0,0,Q,Mr,False,Adults,Very Cheap,XX
429,1,3,0,0,S,Mr,True,Adults,Cheap,E
430,1,1,0,0,S,Mr,True,Adults,Average,C
431,1,3,1,0,S,Mrs,False,Middle-aged,Normal,XX
432,1,2,1,0,S,Mrs,True,Middle-aged,Average,XX
433,0,3,0,0,S,Mr,True,Teenagers,Very Cheap,XX
434,0,1,1,0,S,Mr,True,Seniors,Expensive,E
435,1,1,1,2,S,Ms,True,Teenagers,Very Expensive,B
436,0,3,2,2,S,Ms,True,Young Adults,Average,XX
437,1,2,2,3,S,Mrs,True,Young Adults,Normal,XX
438,0,1,1,4,S,Mr,True,Seniors,Very Expensive,C
439,0,2,0,0,S,Mr,True,Adults,Cheap,XX
440,1,2,1,1,S,Mrs,True,Middle-aged,Average,XX
441,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
442,0,3,1,0,S,Mr,True,Adults,Very Cheap,XX
443,1,2,0,0,S,Ms,True,Adults,Normal,XX
444,1,3,0,0,S,Mr,False,Adults,Cheap,XX
445,1,1,0,2,S,Master,True,Kids,Expensive,A
